StartTime,EndTime,StartRoomTemp,FinalRoomTemp,InactivePeriodRateOfTempChange,StartOutsideAirTemp,HasRoomBeenOccupied,StartOutsideAirHumidity
2024-05-30T07:09:13Z,2024-05-30T07:31:19Z,71.5,70,0.04333343505859375,45.400001525878906,false,78.09000396728516
2024-05-30T08:01:21Z,2024-05-30T11:28:23Z,71.19999694824219,73.19999694824219,0.039999898274739584,44.599998474121094,true,78.05000305175781
2024-05-30T11:58:25Z,2024-05-30T18:20:05Z,73.69999694824219,70,0.016666666666666666,50,true,75.68000793457031
2024-05-30T18:50:07Z,2024-05-30T18:52:07Z,72.9000015258789,73.19999694824219,0.09666671752929687,60.099998474121094,true,43.209999084472656
2024-05-30T19:22:09Z,2024-05-30T20:27:27Z,74.9000015258789,70,0.05666681925455729,60.20000076293945,true,42.42000198364258
2024-05-30T20:57:29Z,2024-05-30T21:01:30Z,72.9000015258789,73.19999694824219,0.09666671752929687,60.29999923706055,true,41.769996643066406
2024-05-30T21:31:32Z,2024-05-30T21:44:35Z,73.19999694824219,70,0,59.79999923706055,true,41.23999786376953
2024-05-30T22:14:37Z,2024-05-30T22:16:38Z,72.9000015258789,73.19999694824219,0.09666671752929687,59.599998474121094,true,42.08000183105469
2024-05-30T22:46:40Z,2024-05-31T07:27:02Z,73.69999694824219,70,0.016666666666666666,58.79999923706055,true,40.56999969482422
2024-05-31T07:57:04Z,2024-05-31T08:12:08Z,71.19999694824219,73.19999694824219,0.039999898274739584,41.599998474121094,false,72.55000305175781
2024-05-31T08:42:10Z,2024-05-31T16:30:23Z,72.69999694824219,70,-0.016666666666666666,41.099998474121094,true,73.62000274658203
2024-05-31T17:00:25Z,2024-05-31T17:08:27Z,72.9000015258789,73.19999694824219,0.09666671752929687,64.5,true,37.64999771118164
2024-05-31T17:38:29Z,2024-05-31T17:54:34Z,73.4000015258789,70,0.006666819254557292,65.5999984741211,true,37.59000015258789
2024-05-31T18:24:35Z,2024-05-31T18:36:39Z,72.69999694824219,73.19999694824219,0.08999989827473959,66.5,true,35.59000015258789
2024-05-31T19:06:41Z,2024-05-31T19:25:45Z,73.69999694824219,70,0.016666666666666666,66.9000015258789,true,35.040000915527344
2024-05-31T19:55:47Z,2024-05-31T19:57:48Z,72.9000015258789,73.19999694824219,0.09666671752929687,66.69999694824219,true,36.130001068115234
2024-05-31T20:27:50Z,2024-05-31T20:44:54Z,73.69999694824219,70,0.016666666666666666,67.19999694824219,true,36
2024-05-31T21:14:56Z,2024-06-01T06:25:23Z,73.19999694824219,72.9000015258789,0.10666656494140625,67.9000015258789,true,36.029998779296875
2024-06-01T06:55:25Z,2024-06-03T03:39:21Z,73.69999694824219,70,0.02666651407877604,47.79999923706055,true,66.22999572753906
2024-06-03T04:09:23Z,2024-06-03T04:25:27Z,72.4000015258789,73.19999694824219,0.0800000508626302,57.29999923706055,true,87.73999786376953
2024-06-03T04:55:29Z,2024-06-03T05:19:36Z,73.69999694824219,70,0.016666666666666666,56.79999923706055,true,88.90999603271484
2024-06-03T05:49:38Z,2024-06-03T05:59:40Z,72.9000015258789,73.19999694824219,0.09666671752929687,56.70000076293945,false,89.91000366210938
2024-06-03T06:29:42Z,2024-06-03T06:54:49Z,73.69999694824219,70,0.016666666666666666,56.70000076293945,false,91.1600112915039
2024-06-03T07:24:51Z,2024-06-03T07:49:58Z,72.9000015258789,73.19999694824219,0.09666671752929687,56.70000076293945,false,90.14999389648438
2024-06-03T08:20:00Z,2024-06-03T08:53:12Z,74.19999694824219,70,0.03333333333333333,57,false,90.02999877929688
2024-06-03T09:23:13Z,2024-06-03T09:42:18Z,72.9000015258789,73.19999694824219,0.09666671752929687,56.900001525878906,false,91.86000061035156
2024-06-03T10:12:20Z,2024-06-03T10:51:31Z,74.19999694824219,70,0.03333333333333333,57.400001525878906,true,91.95999908447266
2024-06-03T11:21:33Z,2024-06-03T11:30:35Z,71.9000015258789,73.19999694824219,0.06333338419596354,58.20000076293945,true,89.5999984741211
2024-06-03T12:00:37Z,2024-06-03T18:40:27Z,74.19999694824219,70,0.03333333333333333,58.70000076293945,true,89.34999084472656
2024-06-03T19:10:29Z,2024-06-03T19:27:34Z,72.19999694824219,73.19999694824219,0.07333323160807291,73.80000305175781,true,58.17000198364258
2024-06-03T19:57:37Z,2024-06-04T00:59:59Z,74.5999984741211,70,0.046666717529296874,75,true,56.61000442504883
2024-06-04T01:30:02Z,2024-06-04T01:49:07Z,71.9000015258789,73.19999694824219,0.06333338419596354,67.5999984741211,true,71.50999450683594
2024-06-04T02:19:09Z,2024-06-04T02:52:18Z,74.4000015258789,70,0.04000015258789062,64.9000015258789,true,76.5199966430664
2024-06-04T03:22:23Z,2024-06-04T03:34:26Z,72.19999694824219,73.19999694824219,0.07333323160807291,62.099998474121094,true,81.74000549316406
2024-06-04T04:04:28Z,2024-06-04T06:21:07Z,74.19999694824219,70,0.03333333333333333,61.400001525878906,true,83.04999542236328
2024-06-04T06:51:09Z,2024-06-04T07:13:15Z,72.9000015258789,73.19999694824219,0.09666671752929687,58.099998474121094,false,87.75001525878906
2024-06-04T07:43:17Z,2024-06-04T08:15:26Z,74.4000015258789,70,0.04000015258789062,57.099998474121094,false,87.54999542236328
2024-06-04T08:45:28Z,2024-06-04T08:46:29Z,73.19999694824219,72.9000015258789,0.10666656494140625,56.099998474121094,false,88.27000427246094
2024-06-04T09:16:31Z,2024-06-04T09:45:42Z,73.69999694824219,70,0.02666651407877604,55.599998474121094,false,88.18999481201172
2024-06-04T10:15:44Z,2024-06-04T10:50:53Z,72.19999694824219,73.19999694824219,0.07333323160807291,56.79999923706055,true,88.91999816894531
2024-06-04T11:20:55Z,2024-06-04T15:21:59Z,73.9000015258789,70,0.02333348592122396,59.29999923706055,true,86.06000518798828
2024-06-04T15:52:01Z,2024-06-04T16:25:10Z,72.4000015258789,73.19999694824219,0.0800000508626302,79.19999694824219,true,52.07999801635742
2024-06-04T16:55:12Z,2024-06-04T18:46:42Z,73.9000015258789,70,0.02333348592122396,81,true,49.65999984741211
2024-06-04T19:16:44Z,2024-06-04T19:50:53Z,73.19999694824219,72.9000015258789,0.10666656494140625,82.0999984741211,true,44.36000061035156
2024-06-04T20:20:55Z,2024-06-05T06:33:40Z,73.9000015258789,70,0.03333333333333333,83.5,true,43.099998474121094
2024-06-05T07:03:42Z,2024-06-05T07:04:43Z,73.19999694824219,72.9000015258789,0.10666656494140625,66,false,62.649993896484375
2024-06-05T07:34:45Z,2024-06-05T08:11:55Z,73.9000015258789,70,0.03333333333333333,65.5,false,63.42000198364258
2024-06-05T08:41:57Z,2024-06-05T08:42:57Z,73.19999694824219,72.9000015258789,0.10666656494140625,64.5,false,66.75000762939453
2024-06-05T09:12:59Z,2024-06-05T10:37:22Z,73.69999694824219,70,0.02666651407877604,64.19999694824219,true,67.91999816894531
2024-06-05T11:07:24Z,2024-06-05T11:20:28Z,71.9000015258789,73.19999694824219,0.06333338419596354,65.19999694824219,true,72.16000366210938
2024-06-05T11:50:30Z,2024-06-05T17:48:05Z,74.19999694824219,70,0.03333333333333333,67.69999694824219,true,70.41999816894531
2024-06-05T18:18:10Z,2024-06-05T18:39:16Z,72.4000015258789,73.19999694824219,0.0800000508626302,78.5999984741211,true,62.2599983215332
2024-06-05T19:09:18Z,2024-06-05T22:08:05Z,73.9000015258789,70,0.02333348592122396,78.5,true,61.530006408691406
2024-06-05T22:38:07Z,2024-06-05T22:45:09Z,72.69999694824219,73.19999694824219,0.08999989827473959,75.30000305175781,true,65.59000396728516
2024-06-05T23:15:11Z,2024-06-06T01:16:44Z,74.19999694824219,70,0.03333333333333333,74.5999984741211,true,67.23999786376953
2024-06-06T01:46:46Z,2024-06-06T02:02:51Z,72.19999694824219,73.19999694824219,0.07333323160807291,71.4000015258789,true,73.91000366210938
2024-06-06T02:32:52Z,2024-06-06T02:58:59Z,73.69999694824219,70,0.016666666666666666,70.30000305175781,true,76.55999755859375
2024-06-06T03:29:01Z,2024-06-06T03:41:05Z,72.19999694824219,73.19999694824219,0.07333323160807291,70,true,76.50999450683594
2024-06-06T04:11:07Z,2024-06-06T06:27:43Z,73.9000015258789,70,0.02333348592122396,69.5,true,76.06999969482422
2024-06-06T06:57:45Z,2024-06-06T06:58:45Z,73.19999694824219,72.9000015258789,0.10666656494140625,66.80000305175781,false,84.2699966430664
2024-06-06T07:28:47Z,2024-06-06T08:06:57Z,73.69999694824219,70,0.02666651407877604,66,false,86.48999786376953
2024-06-06T08:36:59Z,2024-06-06T08:38:00Z,73.19999694824219,72.9000015258789,0.10666656494140625,65.4000015258789,false,88.56999969482422
2024-06-06T09:08:02Z,2024-06-06T10:21:21Z,73.9000015258789,70,0.03333333333333333,65.30000305175781,true,88.2300033569336
2024-06-06T10:51:23Z,2024-06-06T11:51:40Z,71.5,73.19999694824219,0.05,66.69999694824219,true,87.83000183105469
2024-06-06T12:21:42Z,2024-06-07T12:29:24Z,73.9000015258789,70,0.02333348592122396,68.5999984741211,true,83.5
2024-06-07T12:59:26Z,2024-06-07T13:23:32Z,71.19999694824219,73.19999694824219,0.039999898274739584,60.099998474121094,true,70.25999450683594
2024-06-07T13:53:34Z,2024-06-07T14:31:44Z,73.4000015258789,70,0.006666819254557292,61.599998474121094,true,70.16999816894531
2024-06-07T15:01:46Z,2024-06-07T15:13:49Z,72.4000015258789,73.19999694824219,0.0800000508626302,65.80000305175781,true,64.81999969482422
2024-06-07T15:43:52Z,2024-06-07T19:18:48Z,73.9000015258789,70,0.02333348592122396,68.69999694824219,true,58.980003356933594
2024-06-07T19:48:49Z,2024-06-07T20:06:54Z,72.4000015258789,73.19999694824219,0.0800000508626302,60.20000076293945,true,75.81999969482422
2024-06-07T20:36:56Z,2024-06-07T20:58:02Z,73.9000015258789,70,0.02333348592122396,60.79999923706055,true,74.31999206542969
2024-06-07T21:28:04Z,2024-06-07T21:45:09Z,72.4000015258789,73.19999694824219,0.0800000508626302,60.599998474121094,true,72.51000213623047
2024-06-07T22:15:11Z,2024-06-09T06:28:56Z,73.69999694824219,69.69999694824219,0.016666666666666666,58.79999923706055,true,66.8499984741211
2024-06-09T06:58:58Z,2024-06-09T07:12:02Z,72.69999694824219,73.19999694824219,0.1,56.29999923706055,false,72.8499984741211
2024-06-09T07:42:04Z,2024-06-10T19:09:42Z,73.9000015258789,70,0.02333348592122396,55.5,true,69.09000396728516
2024-06-10T19:39:44Z,2024-06-10T20:02:51Z,72.69999694824219,73.19999694824219,0.08999989827473959,59.900001525878906,true,67.08000183105469
2024-06-10T20:32:53Z,2024-06-10T20:48:57Z,73.4000015258789,70,0.006666819254557292,59.900001525878906,true,66.80000305175781
2024-06-10T21:18:59Z,2024-06-10T21:39:05Z,72.4000015258789,73.19999694824219,0.0800000508626302,58.5,true,69.97000122070312
2024-06-10T22:09:07Z,2024-06-11T09:05:04Z,73.4000015258789,70,0.006666819254557292,58.099998474121094,true,72.25000762939453
2024-06-11T09:35:06Z,2024-06-11T09:52:11Z,71.5,73.19999694824219,0.05,50.70000076293945,false,79.90999603271484
